CNAE ID CNG,CNAE label CNG,annual_avg_emplvl,CLAE 3,Descripción CLAE 3,annual_avg_emplvl
451,Comercio de veiculos automotores,0.61,451,"VENTA DE VEHÍCULOS AUTOMOTORES, EXCEPTO MOTOCICLETAS",0.85
452,Manutencao e reparacao de veiculos automotores,0.41,452,"MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES, EXCEPTO MOTOCICLETAS",0.58
453,Comercio de pecas e acessorios para veiculos automotores,0.91,453,"VENTA DE PARTES, PIEZAS Y ACCESORIOS DE VEHÍCULOS AUTOMOTORES",0.75
454,"Comercio, manutencao e reparacao de motocicletas, pecas e acessorios",0.19,454,"VENTA, MANTENIMIENTO Y REPARACIÓN DE MOTOCICLETAS Y DE SUS PARTES, PIEZAS Y ACCESORIOS",0.13
461,"Representantes comerciais e agentes do comercio, exceto de veiculos automotores e motocicletas",0.12,461,VENTA AL POR MAYOR EN COMISIÓN O CONSIGNACIÓN,1.03
462,Comercio atacadista de materias-primas agricolas e animais vivos,0.14,462,VENTA AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS Y DE ANIMALES VIVOS,0.23
463,"Comercio atacadista especializado em produtos alimenticios, bebidas e fumo",0.97,463,"VENTA AL POR MAYOR DE ALIMENTOS, BEBIDAS Y TABACO",2.31
464,Comercio atacadista de produtos de consumo nao-alimentar,0.7,464,VENTA AL POR MAYOR DE ARTÍCULOS DE USO DOMÉSTICO Y/O PERSONAL,1.09
465,Comercio atacadista de equipamentos e produtos de tecnologias de informacao e comunicacao,0.08,465,"VENTA AL POR MAYOR DE MÁQUINAS, EQUIPO Y MATERIALES CONEXOS",0.63
466,"Comercio atacadista de maquinas, aparelhos e equipamentos, exceto de tecnologias de informacao e comunicacao",0.25,465,"VENTA AL POR MAYOR DE MÁQUINAS, EQUIPO Y MATERIALES CONEXOS",0.63
467,"Comercio atacadista de madeira, ferragens, ferramentas, material eletrico e material de construcao",0.24,465,"VENTA AL POR MAYOR DE MÁQUINAS, EQUIPO Y MATERIALES CONEXOS",0.63
468,Comercio atacadista especializado em outros produtos,0.46,466,VENTA AL POR MAYOR ESPECIALIZADA,1.07
469,Comercio atacadista nao-especializado,0.28,469,VENTA AL POR MAYOR DE MERCANCÍAS NCP,0.38
471,Comercio varejista nao-especializado,3.45,471,VENTA AL POR MENOR EN COMERCIOS NO ESPECIALIZADOS,2.9
472,"Comercio varejista de produtos alimenticios, bebidas e fumo",1.27,472,"VENTA AL POR MENOR DE PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO EN COMERCIOS ESPECIALIZADOS",1.71
473,Comercio varejista de combustiveis para veiculos automotores,0.72,473,VENTA AL POR MENOR DE COMBUSTIBLE PARA VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS,1.23
474,Comercio varejista de material de construcao,1.66,477,"VENTA AL POR MENOR DE PRODUCTOS NCP, EN COMERCIOS ESPECIALIZADOS",3.8
475,Comercio varejista de equipamentos de informatica e comunicacao; equipamentos e artigos de uso domestico,1.93,475,VENTA AL POR MENOR DE EQUIPOS DE USO DOMÉSTICO NCP EN COMERCIOS ESPECIALIZADOS,2.71
475,Comercio varejista de equipamentos de informatica e comunicacao; equipamentos e artigos de uso domestico,1.93,474,"VENTA AL POR MENOR DE EQUIPOS, PERIFÉRICOS, ACCESORIOS Y PROGRAMAS INFORMÁTICOS; EQUIPOS DE TELECOMUNICACIONES EN COMERCIOS ESPECIALIZADOS",0.15
476,"Comercio varejista de artigos culturais, recreativos e esportivos",0.45,476,VENTA AL POR MENOR DE BIENES CULTURALES Y RECREATIVOS EN COMERCIOS ESPECIALIZADOS,0.47
477,"Comercio varejista de produtos farmaceuticos, perfumaria e cosmeticos e artigos medicos, opticos e ortopedicos",1.24,477,"VENTA AL POR MENOR DE PRODUCTOS NCP, EN COMERCIOS ESPECIALIZADOS",3.8
478,Comercio varejista de produtos novos nao especificados anteriormente e de produtos usados,3.15,477,"VENTA AL POR MENOR DE PRODUCTOS NCP, EN COMERCIOS ESPECIALIZADOS",3.8
478,Comercio varejista de produtos novos nao especificados anteriormente e de produtos usados,3.15,478,VENTA AL POR MENOR EN PUESTOS MÓVILES Y MERCADOS,0.0
478,Comercio varejista de produtos novos nao especificados anteriormente e de produtos usados,3.15,479,"VENTA AL POR MENOR NO REALIZADA EN COMERCIOS, PUESTOS O MERCADOS",0.05
491,Transporte ferroviario e metroferroviario,0.13,491,SERVICIO DE TRANSPORTE FERROVIARIO,0.0
492,Transporte rodoviario de passageiros,1.55,492,SERVICIO DE TRANSPORTE AUTOMOTOR,6.08
493,Transporte rodoviario de carga,1.81,492,SERVICIO DE TRANSPORTE AUTOMOTOR,6.08
494,Transporte dutoviario,0.01,493,SERVICIO DE TRANSPORTE POR TUBERÍAS,0.0
495,"Trens turisticos, telefericos e similares",0.0,491,SERVICIO DE TRANSPORTE FERROVIARIO,0.0
501,Transporte maritimo de cabotagem e longo curso,0.02,501,SERVICIO DE TRANSPORTE MARÍTIMO,0.0
502,Transporte por navegacao interior,0.02,502,SERVICIO DE TRANSPORTE FLUVIAL Y LACUSTRE,0.02
503,Navegacao de apoio,0.03,502,SERVICIO DE TRANSPORTE FLUVIAL Y LACUSTRE,0.02
509,Outros transportes aquaviarios,0.01,502,SERVICIO DE TRANSPORTE FLUVIAL Y LACUSTRE,0.02
511,Transporte aereo de passageiros,0.14,511,SERVICIO DE TRANSPORTE AÉREO DE PASAJEROS,0.0
512,Transporte aereo de carga,0.0,512,SERVICIO DE TRANSPORTE AÉREO DE CARGAS,0.0
513,Transporte espacial,0.0,513,Transporte espacial,0.0
521,"Armazenamento, carga e descarga",0.26,521,SERVICIOS DE MANIPULACIÓN DE CARGAS,0.11
521,"Armazenamento, carga e descarga",0.26,522,SERVICIOS DE ALMACENAMIENTO Y DEPÓSITO,0.05
522,Atividades auxiliares dos transportes terrestres,0.26,523,SERVICIOS DE GESTIÓN Y LOGÍSTICA PARA EL TRANSPORTE DE MERCADERÍAS,0.26
522,Atividades auxiliares dos transportes terrestres,0.26,524,SERVICIOS COMPLEMENTARIOS PARA EL TRANSPORTE,0.39
523,Atividades auxiliares dos transportes aquaviarios,0.1,524,SERVICIOS COMPLEMENTARIOS PARA EL TRANSPORTE,0.39
524,Atividades auxiliares dos transportes aereos,0.09,524,SERVICIOS COMPLEMENTARIOS PARA EL TRANSPORTE,0.39
525,Atividades relacionadas a organizacao do transporte de carga,0.16,524,SERVICIOS COMPLEMENTARIOS PARA EL TRANSPORTE,0.39
531,Atividades de correio,0.28,530,SERVICIOS DE CORREOS Y MENSAJERÍAS,0.06
532,Atividades de malote e de entrega,0.11,530,SERVICIOS DE CORREOS Y MENSAJERÍAS,0.06
551,Hoteis e similares,0.64,551,"SERVICIOS DE ALOJAMIENTO, EXCEPTO EN CAMPING",1.15
559,Outros tipos de alojamento nao especificados anteriormente,0.04,552,SERVICIOS DE ALOJAMIENTO EN CAMPINGS,0.01
561,Restaurantes e outros servicos de alimentacao e bebidas,2.46,561,SERVICIOS DE EXPENDIO DE COMIDAS Y BEBIDAS,3.12
562,"Servicos de catering, bufe e outros servicos de comida preparada",0.58,562,SERVICIOS DE PREPARACIÓN DE COMIDAS PARA EMPRESAS Y SERVICIOS DE COMIDAS NCP,0.5
581,"Edicao de livros, jornais, revistas e outras atividades de edicao",0.07,581,EDICIÓN,0.22
582,"Edicao integrada a impressao de livros, jornais, revistas e outras publicacoes",0.16,581,EDICIÓN,0.22
591,"Atividades cinematograficas, producao de videos e de programas de televisao",0.05,591,SERVICIOS DE CINEMATOGRAFÍA,0.06
592,Atividades de gravacao de som e de edicao de musica,0.01,592,SERVICIOS DE GRABACIÓN DE SONIDO Y EDICIÓN DE MÚSICA,0.0
601,Atividades de radio,0.08,601,EMISIÓN Y RETRANSMISIÓN DE RADIO,0.08
602,Atividades de televisao,0.12,602,SERVICIOS DE TELEVISIÓN,0.24
611,Telecomunicacoes por fio,0.13,611,SERVICIOS DE TELEFONÍA FIJA,0.04
612,Telecomunicacoes sem fio,0.08,612,SERVICIOS DE TELEFONÍA MÓVIL,0.0
613,Telecomunicacoes por satelite,0.0,613,"SERVICIOS DE TELECOMUNICACIONES VÍA SATÉLITE, EXCEPTO SERVICIOS DE TRANSMISIÓN DE TELEVISIÓN",0.0
614,Operadoras de televisao por assinatura,0.03,614,SERVICIOS DE TELECOMUNICACIÓN VÍA INTERNET,0.0
619,Outras atividades de telecomunicacoes,0.16,619,SERVICIOS DE TELECOMUNICACIONES NCP,0.04
620,Atividades dos servicos de tecnologia da informacao,0.66,620,SERVICIOS DE PROGRAMACIÓN Y CONSULTORÍA INFORMÁTICA Y ACTIVIDADES CONEXAS,0.37
631,"Tratamento de dados, hospedagem na internet e outras atividades relacionadas",0.18,631,"PROCESAMIENTO DE DATOS, HOSPEDAJE Y ACTIVIDADES CONEXAS; PORTALES WEB",0.04
639,Outras atividades de prestacao de servicos de informacao,0.06,639,SERVICIOS DE AGENCIAS DE NOTICIAS Y SERVICIOS DE INFORMACIÓN NCP,0.0
641,Banco central,0.01,641,INTERMEDIACIÓN MONETARIA,0.04
642,Intermediacao monetaria - depositos a vista,1.14,641,INTERMEDIACIÓN MONETARIA,0.04
643,Intermediacao nao-monetaria - outros instrumentos de captacao,0.04,642,SERVICIOS DE SOCIEDADES DE CARTERA,0.0
644,Arrendamento mercantil,0.0,642,SERVICIOS DE SOCIEDADES DE CARTERA,0.0
645,Sociedades de capitalizacao,0.0,642,SERVICIOS DE SOCIEDADES DE CARTERA,0.0
646,Atividades de sociedades de participacao,0.08,643,FONDOS Y SOCIEDADES DE INVERSIÓN Y ENTIDADES FINANCIERAS SIMILARES,0.0
647,Fundos de investimento,0.0,643,FONDOS Y SOCIEDADES DE INVERSIÓN Y ENTIDADES FINANCIERAS SIMILARES,0.0
649,Atividades de servicos financeiros nao especificadas anteriormente,0.05,649,SERVICIOS FINANCIEROS EXCEPTO LOS DE LA BANCA CENTRAL Y LAS ENTIDADES FINANCIERAS,0.37
651,Seguros de vida e nao-vida,0.09,651,SERVICIOS DE SEGUROS,0.37
652,Seguros-saude,0.01,651,SERVICIOS DE SEGUROS,0.37
653,Resseguros,0.0,652,REASEGUROS,0.0
654,Previdencia complementar,0.03,653,ADMINISTRACIÓN DE FONDOS DE PENSIONES,0.0
655,Planos de saude,0.16,653,ADMINISTRACIÓN DE FONDOS DE PENSIONES,0.0
661,Atividades auxiliares dos servicos financeiros,0.08,661,"SERVICIOS AUXILIARES A LA ACTIVIDAD FINANCIERA, EXCEPTO A LOS SERVICIOS DE SEGUROS",0.04
662,"Atividades auxiliares dos seguros, da previdencia complementar e dos planos de saude",0.1,662,SERVICIOS AUXILIARES A LOS SERVICIOS DE SEGUROS,0.16
663,Atividades de administracao de fundos por contrato ou comissao,0.01,663,SERVICIOS DE GESTIÓN DE FONDOS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA,0.0
681,Atividades imobiliarias de imoveis proprios,0.09,681,"SERVICIOS INMOBILIARIOS REALIZADOS POR CUENTA PROPIA, CON BIENES PROPIOS O ARRENDADOS",0.84
682,Atividades imobiliarias por contrato ou comissao,0.18,682,SERVICIOS INMOBILIARIOS REALIZADOS A CAMBIO DE UNA RETRIBUCIÓN O POR CONTRATA,0.28
691,Atividades juridicas,0.31,691,SERVICIOS JURÍDICOS,0.34
692,"Atividades de contabilidade, consultoria e auditoria contabil e tributaria",0.52,692,"SERVICIOS DE CONTABILIDAD, AUDITORÍA Y ASESORÍA FISCAL",0.46
702,Atividades de consultoria em gestao empresarial,0.21,702,"SERVICIOS DE ASESORAMIENTO, DIRECCIÓN Y GESTIÓN EMPRESARIAL",0.82
711,Servicos de arquitetura e engenharia e atividades tecnicas relacionadas,0.6,711,SERVICIOS DE ARQUITECTURA E INGENIERÍA Y SERVICIOS TÉCNICOS NCP,0.84
712,Testes e analises tecnicas,0.05,712,ENSAYOS Y ANÁLISIS TÉCNICOS,0.02
721,Pesquisa e desenvolvimento experimental em ciencias fisicas e naturais,0.08,721,INVESTIGACIÓN Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LA INGENIERÍA Y DE LAS CIENCIAS EXACTAS Y NATURALES,0.02
722,Pesquisa e desenvolvimento experimental em ciencias sociais e humanas,0.01,722,INVESTIGACIÓN Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS SOCIALES Y LAS HUMANIDADES,0.0
731,Publicidade,0.17,731,SERVICIOS DE PUBLICIDAD,0.14
732,Pesquisas de mercado e de opiniao publica,0.02,732,"ESTUDIO DE MERCADO, REALIZACIÓN DE ENCUESTAS DE OPINIÓN PÚBLICA",0.0
741,Design e decoracao de interiores,0.01,741,SERVICIOS DE DISEÑO ESPECIALIZADO,0.0
742,Atividades fotograficas e similares,0.04,742,SERVICIOS DE FOTOGRAFÍA,0.02
749,"Atividades profissionais, cientificas e tecnicas nao especificadas anteriormente",0.16,749,"ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS NCP",0.03
750,Atividades veterinarias,0.01,750,SERVICIOS VETERINARIOS,0.04
771,Locacao de meios de transporte sem condutor,0.11,771,ALQUILER DE VEHÍCULOS AUTOMOTORES Y EQUIPO DE TRANSPORTE SIN CONDUCTOR NI OPERARIOS,0.03
772,Aluguel de objetos pessoais e domesticos,0.06,772,ALQUILER DE EFECTOS PERSONALES Y ENSERES DOMÉSTICOS,0.01
773,Aluguel de maquinas e equipamentos sem operador,0.26,773,"ALQUILER DE MAQUINARIA Y EQUIPO NCP, SIN PERSONAL",0.1
774,Gestao de ativos intangiveis nao-financeiros,0.01,774,ARRENDAMIENTO Y GESTIÓN DE BIENES INTANGIBLES NO FINANCIEROS,0.0
781,Selecao e agenciamento de mao-de-obra,0.28,780,OBTENCIÓN Y DOTACIÓN DE PERSONAL,0.25
782,Locacao de mao-de-obra temporaria,0.68,780,OBTENCIÓN Y DOTACIÓN DE PERSONAL,0.25
783,Fornecimento e gestao de recursos humanos para terceiros,0.22,780,OBTENCIÓN Y DOTACIÓN DE PERSONAL,0.25
791,Agencias de viagens e operadores turisticos,0.15,791,SERVICIOS DE AGENCIAS DE VIAJE Y OTRAS ACTIVIDADES COMPLEMENTARIAS DE APOYO TURÍSTICO,0.21
799,Servicos de reservas e outros servicos de turismo nao especificados anteriormente,0.01,791,SERVICIOS DE AGENCIAS DE VIAJE Y OTRAS ACTIVIDADES COMPLEMENTARIAS DE APOYO TURÍSTICO,0.21
801,"Atividades de vigilancia, seguranca privada e transporte de valores",1.31,801,SERVICIOS DE SEGURIDAD E INVESTIGACIÓN,2.01
802,Atividades de monitoramento de sistemas de seguranca,0.1,801,SERVICIOS DE SEGURIDAD E INVESTIGACIÓN,2.01
803,Atividades de investigacao particular,0.0,801,SERVICIOS DE SEGURIDAD E INVESTIGACIÓN,2.01
811,Servicos combinados para apoio a edificios,1.41,811,SERVICIO COMBINADO DE APOYO A EDIFICIOS,0.0
812,Atividades de limpeza,1.6,812,SERVICIOS DE LIMPIEZA DE EDIFICIOS,1.19
813,Atividades paisagisticas,0.04,813,SERVICIOS DE JARDINERÍA Y MANTENIMIENTO DE ESPACIOS VERDES,0.03
821,Servicos de escritorio e apoio administrativo,0.56,821,SERVICIOS DE APOYO A LA ADMINISTRACIÓN DE OFICINAS Y EMPRESAS,0.05
822,Atividades de teleatendimento,0.91,822,SERVICIOS DE CALL CENTER,0.67
823,"Atividades de organizacao de eventos, exceto culturais e esportivos",0.08,823,"SERVICIOS DE ORGANIZACIÓN DE CONVENCIONES Y EXPOSICIONES COMERCIALES, EXCEPTO CULTURALES Y DEPORTIVOS",0.0
829,Outras atividades de servicos prestados principalmente as empresas,1.11,829,SERVICIOS EMPRESARIALES NCP,1.01
841,Administracao do estado e da politica economica e social,17.02,841,Servicios de la administración pública,
842,Servicos coletivos prestados pela administracao publica,2.08,842,Prestación pública de servicios a la comunidad en general,
843,Seguridade social obrigatoria,0.11,843,Servicios de la seguridad social obligatoria,
851,Educacao infantil e ensino fundamental,1.09,851,ENSEÑANZA INICIAL Y PRIMARIA,5.33
852,Ensino medio,0.3,852,ENSEÑANZA SECUNDARIA,1.35
853,Educacao superior,1.42,853,ENSEÑANZA SUPERIOR Y FORMACIÓN DE POSGRADO,0.77
854,Educacao profissional de nivel tecnico e tecnologico,0.16,854,SERVICIOS DE ENSEÑANZA NCP,0.44
855,Atividades de apoio a educacao,0.06,855,SERVICIOS DE APOYO A LA EDUCACIÓN,0.0
859,Outras atividades de ensino,0.7,855,SERVICIOS DE APOYO A LA EDUCACIÓN,0.0
861,Atividades de atendimento hospitalar,2.19,861,SERVICIOS DE HOSPITALES,0.91
862,Servicos moveis de atendimento a urgencias e de remocao de pacientes,0.02,862,SERVICIOS DE ATENCIÓN AMBULATORIA REALIZADOS POR MÉDICOS Y ODONTÓLOGOS,0.34
863,Atividades de atencao ambulatorial executadas por medicos e odontologos,0.55,863,"SERVICIOS DE PRÁCTICAS DE DIAGNÓSTICO Y TRATAMIENTO; SERVICIOS INTEGRADOS DE CONSULTA, DIAGNÓSTICO Y TRATAMIENTO",0.65
864,Atividades de servicos de complementacao diagnostica e terapeutica,0.41,864,SERVICIOS DE EMERGENCIAS Y TRASLADOS,0.17
865,"Atividades de profissionais da area de saude, exceto medicos e odontologos",0.14,869,SERVICIOS RELACIONADOS CON LA SALUD HUMANA NCP,1.33
866,Atividades de apoio a gestao de saude,0.09,869,SERVICIOS RELACIONADOS CON LA SALUD HUMANA NCP,1.33
869,Atividades de atencao a saude humana nao especificadas anteriormente,0.2,869,SERVICIOS RELACIONADOS CON LA SALUD HUMANA NCP,1.33
871,"Atividades de assistencia a idosos, deficientes fisicos, imunodeprimidos e convalescentes, e de infra-estrutura e apoio a pacientes prestadas em residencias coletivas e particulares",0.1,870,SERVICIOS SOCIALES CON ALOJAMIENTO,0.39
872,"Atividades de assistencia psicossocial e a saude a portadores de disturbios psiquicos, deficiencia mental e dependencia quimica",0.03,870,SERVICIOS SOCIALES CON ALOJAMIENTO,0.39
873,Atividades de assistencia social prestadas em residencias coletivas e particulares,0.08,870,SERVICIOS SOCIALES CON ALOJAMIENTO,0.39
880,Servicos de assistencia social sem alojamento,0.26,880,SERVICIOS SOCIALES SIN ALOJAMIENTO,0.03
900,"Atividades artisticas, criativas e de espetaculos",0.04,900,SERVICIOS ARTÍSTICOS Y DE ESPECTÁCULOS,0.05
910,Atividades ligadas ao patrimonio cultural e ambiental,0.01,910,"SERVICIOS DE BIBLIOTECAS, ARCHIVOS Y MUSEOS Y SERVICIOS CULTURALES NCP",0.02
920,Atividades de exploracao de jogos de azar e apostas,0.0,920,SERVICIOS RELACIONADOS CON JUEGOS DE AZAR Y APUESTAS,0.67
931,Atividades esportivas,0.34,931,SERVICIOS PARA LA PRÁCTICA DEPORTIVA,0.53
932,Atividades de recreacao e lazer,0.09,939,SERVICIOS DE ESPARCIMIENTO NCP,0.19
941,"Atividades de organizacoes associativas patronais, empresariais e profissionais",0.16,911,"Servicios de organizaciones empresariales, profesionales y de empleadores",
942,Atividades de organizacoes sindicais,0.26,912,Servicios de sindicatos,
943,Atividades de associacoes de defesa de direitos sociais,0.78,949,SERVICIOS DE ASOCIACIONES NCP,0.0
949,Atividades de organizacoes associativas nao especificadas anteriormente,0.62,949,SERVICIOS DE ASOCIACIONES NCP,0.0
951,Reparacao e manutencao de equipamentos de informatica e comunicacao,0.13,951,REPARACIÓN Y MANTENIMIENTO DE EQUIPOS INFORMÁTICOS Y EQUIPOS DE COMUNICACIÓN,0.01
952,Reparacao e manutencao de objetos e equipamentos pessoais e domesticos,0.12,952,REPARACIÓN DE EFECTOS PERSONALES Y ENSERES DOMÉSTICOS,0.05
960,Outras atividades de servicos pessoais,0.46,960,SERVICIOS PERSONALES NCP,1.35
970,Servicos domesticos,0.01,950,Servicios de hogares privados que contratan servicio doméstico,
990,Organismos internacionais e outras instituicoes extraterritoriais,0.01,990,Servicios de organizaciones y órganos extraterritoriales,
