CLAE 3,Descripción CLAE 3,Ramas,Descripción,CNAE ID CNG,CNAE label CNG
11.0,Cultivos Temporales,111.0,"Cultivo de cereales, oleaginosas y forrajeras",11,Producao de lavouras temporarias
11.0,Cultivos Temporales,112.0,"Cultivo de hortalizas, legumbres, flores y plantas ornamentales",12,Horticultura e floricultura
12.0,Cultivos Perennes,113.0,Cultivo de frutas  -excepto vid para vinificar- y nueces ,13,Producao de lavouras permanentes
12.0,Cultivos Perennes,114.0,"Cultivos industriales, de especias y de plantas aromáticas y medicinales",13,Producao de lavouras permanentes
13.0,Producción De Semillas Y De Otras Formas De Propagación De Cultivos Agrícolas,115.0,Producción de semillas y otras formas de propagación de cultivos agrícolas,14,Producao de sementes e mudas certificadas
14.0,Cría De Animales,121.0,"Cría de ganado y producción de leche , lana y pelos",15,Pecuaria
14.0,Cría De Animales,122.0,"Producción de granja y cría de animales, excepto ganado",15,Pecuaria
16.0,Servicios De Apoyo Agrícolas Y Pecuarios,141.0,Servicios agrícolas,16,Atividades de apoio a agricultura e a pecuaria; atividades de pos-colheita
16.0,Servicios De Apoyo Agrícolas Y Pecuarios,142.0,"Servicios pecuarios, excepto los veterinarios",16,Atividades de apoio a agricultura e a pecuaria; atividades de pos-colheita
17.0,"Caza, Repoblación  De Animales De Caza Y Servicios De Apoyo",150.0,"Caza  y captura de animales vivos, repoblación  de animales de caza y servicios conexos",17,Caca e servicos relacionados
21.0,Silvicultura,201.0,Silvicultura,21,Producao florestal - florestas plantadas
22.0,Extracción De Productos Forestales,202.0,Extracción de productos forestales,22,Producao florestal - florestas nativas
24.0,Servicios De Apoyo A La Silvicultura,203.0,Servicios forestales,23,Atividades de apoio a producao florestal
31.0,Pesca Y Servicios De Apoyo,501.0,Pesca y recolección de productos marinos,31,Pesca
32.0,"Explotación De Criaderos De Peces, Granjas Piscícolas Y Otros Frutos Acuáticos (Acuicultura)",502.0,"Explotación de criaderos de peces, granjas piscícolas y otros frutos acuáticos (acuicultura)",32,Aquicultura
32.0,"Explotación De Criaderos De Peces, Granjas Piscícolas Y Otros Frutos Acuáticos (Acuicultura)",503.0,Servicios para la pesca,32,Aquicultura
51.0,Extracción Y Aglomeración De Carbón,1429.0,Explotación de minas y canteras n.c.p.,50,Extracao de carvao mineral
61.0,Extracción De Petróleo Crudo,1110.0,Extracción de petróleo crudo y gas natural,60,Extracao de petroleo e gas natural
62.0,Extracción De Gas Natural,1110.0,Extracción de petróleo crudo y gas natural,60,Extracao de petroleo e gas natural
91.0,Servicios De Apoyo Para La Extracción De Petróleo Y Gas Natural,1120.0,"Actividades  de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección",91,Atividades de apoio a extracao de petroleo e gas natural
71.0,Extracción De Minerales De Hierro,1310.0,Extracción de minerales de hierro,71,Extracao de minerio de ferro
72.0,Extracción De Minerales Metalíferos No Ferrosos,1320.0,"Extracción de minerales metalíferos no ferrosos,  excepto minerales de uranio y torio",72,Extracao de minerais metalicos nao-ferrosos
72.0,Extracción De Minerales Metalíferos No Ferrosos,1411.0,Extracción de rocas ornamentales,72,Extracao de minerais metalicos nao-ferrosos
81.0,"Extracción De Piedra, Arena Y Arcillas",1412.0,Extracción de piedra caliza y yeso,81,"Extracao de pedra, areia e argila"
81.0,"Extracción De Piedra, Arena Y Arcillas",1413.0,"Extracción de arenas, canto rodado y triturados pétreos",81,"Extracao de pedra, areia e argila"
81.0,"Extracción De Piedra, Arena Y Arcillas",1414.0,Extracción de arcilla y caolín,81,"Extracao de pedra, areia e argila"
81.0,"Extracción De Piedra, Arena Y Arcillas",1421.0,"Extracción de minerales para la fabricación de abonos y productos químicos, excepto turba",81,"Extracao de pedra, areia e argila"
81.0,"Extracción De Piedra, Arena Y Arcillas",1422.0,Extracción de sal en salinas y de roca,81,"Extracao de pedra, areia e argila"
89.0,Explotación De Minas Y Canteras Ncp,1429.0,Explotación de minas y canteras n.c.p.,89,Extracao de outros minerais nao-metalicos
99.0,"Servicios De Apoyo Para La Minería, Excepto Para La Extracción De Petróleo  Y Gas Natural",1429.0,Explotación de minas y canteras n.c.p.,99,"Atividades de apoio a extracao de minerais, exceto petroleo e gas natural"
101.0,"Producción Y Procesamiento De Carne Y Productos Cárnicos, Excepto Pescado",1511.0,Producción y procesamiento de carne y productos cárnicos,101,Abate e fabricacao de produtos de carne
102.0,Elaboración De Pescado Y Productos De Pescado,1512.0,Elaboración de pescado y productos de pescado,102,Preservacao do pescado e fabricacao de produtos do pescado
103.0,"Preparación De Frutas, Hortalizas Y Legumbres",1513.0,"Preparación de frutas, hortalizas y legumbres",103,"Fabricacao de conservas de frutas, legumes e outros vegetais"
104.0,Elaboración De Aceites Y Grasas De Origen Vegetal,1514.0,Elaboración de aceites y grasas de origen vegetal,104,Fabricacao de oleos e gorduras vegetais e animais
105.0,Elaboración De Productos Lácteos,1520.0,Elaboración de productos lácteos,105,Laticinios
106.0,"Elaboración De Productos De Molinería, Almidones Y Productos Derivados Del Almidón",1531.0,Elaboración de productos de molinería,106,"Moagem, fabricacao de produtos amilaceos e de alimentos para animais"
106.0,"Elaboración De Productos De Molinería, Almidones Y Productos Derivados Del Almidón",1532.0,Elaboración de almidones y productos derivados del almidón,106,"Moagem, fabricacao de produtos amilaceos e de alimentos para animais"
108.0,Elaboración De Alimentos Preparados Para Animales,1533.0,Elaboración de alimentos preparados para animales,,
107.0,Elaboración De Productos Alimenticios Ncp,1541.0,Elaboración de productos de panadería,,
107.0,Elaboración De Productos Alimenticios Ncp,1542.0,Elaboración de azúcar,107,Fabricacao e refino de acucar
107.0,Elaboración De Productos Alimenticios Ncp,1543.0,Elaboración de cacao y chocolate y de productos de confitería,,
107.0,Elaboración De Productos Alimenticios Ncp,1544.0,Elaboración de pastas alimenticias,,
107.0,Elaboración De Productos Alimenticios Ncp,1549.0,Elaboración de productos alimenticios n.c.p.,109,Fabricacao de outros produtos alimenticios
110.0,Elaboración De Bebidas,1551.0,"Destilación, rectificación y mezcla de bebidas alcohólicas; producción de alcohol etílico",111,Fabricacao de bebidas alcoolicas
110.0,Elaboración De Bebidas,1552.0,Elaboración de vinos y otras bebidas fermentadas a partir de frutas ,111,Fabricacao de bebidas alcoolicas
110.0,Elaboración De Bebidas,1553.0,"Elaboración de cerveza, bebidas malteadas y de malta",111,Fabricacao de bebidas alcoolicas
110.0,Elaboración De Bebidas,1554.0,Elaboración de bebidas no alcohólicas; producción de aguas minerales,112,Fabricacao de bebidas nao-alcoolicas
120.0,Elaboración De Productos De Tabaco,1600.0,Elaboración de productos de tabaco,121,Processamento industrial do fumo
120.0,Elaboración De Productos De Tabaco,1600.0,Elaboración de productos de tabaco,122,Fabricacao de produtos do fumo
131.0,"Fabricación  De Hilados Y  Tejidos, Acabado De Productos Textiles",1711.0,Preparación e hilandería de fibras textiles; tejeduría de productos textiles,131,Preparacao e fiacao de fibras texteis
131.0,"Fabricación  De Hilados Y  Tejidos, Acabado De Productos Textiles",1730.0,Fabricación de tejidos de punto y artículos de punto y ganchillo,,
131.0,"Fabricación  De Hilados Y  Tejidos, Acabado De Productos Textiles",1712.0,Acabado de productos textiles,,
139.0,Fabricación De Productos Textiles Ncp,1721.0,"Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir",,
139.0,Fabricación De Productos Textiles Ncp,1722.0,Fabricación de tapices y alfombras,,
139.0,Fabricación De Productos Textiles Ncp,1723.0,"Fabricación de cuerdas, cordeles, bramantes y redes",,
139.0,Fabricación De Productos Textiles Ncp,1729.0,Fabricación de productos textiles n.c.p.,,
141.0,"Confección De Prendas De Vestir, Excepto Prendas De Piel",1810.0,"Fabricación de prendas de vestir, inclusive de cuero",141,Confeccao de artigos do vestuario e acessorios
142.0,Terminación Y Teñido De Pieles; Fabricación De Artículos De Piel,1820.0,Terminación y teñido de pieles; fabricación de artículos de piel,,
143.0,Fabricación De Prendas De Vestir De Punto,1820.0,Terminación y teñido de pieles; fabricación de artículos de piel,,
149.0,Servicios Industriales Para La Industria Confeccionista,1820.0,Terminación y teñido de pieles; fabricación de artículos de piel,,
151.0,Curtido Y Terminación De Cueros; Fabricación De Artículos De Marroquinería Y Talabartería,1911.0,Curtido y terminación de cueros,151,Curtimento e outras preparacoes de couro
151.0,Curtido Y Terminación De Cueros; Fabricación De Artículos De Marroquinería Y Talabartería,1912.0,"Fabricación de maletas, bolsos de mano y similares, artículos de talabartería y  artículos de cuero n.c.p.",152,Fabricacao de artigos para viagem e de artefatos diversos de couro
152.0,Fabricación De Calzado Y De Sus Partes,1920.0,Fabricación de calzado y de sus partes,153,Fabricacao de calcados
152.0,Fabricación De Calzado Y De Sus Partes,1920.0,Fabricación de calzado y de sus partes,154,"Fabricacao de partes para calcados, de qualquer material"
161.0,Aserrado Y Cepillado De Madera,2010.0,Aserrado y cepillado de madera,161,Desdobramento de madeira
162.0,"Fabricación De Productos De Madera, Corcho, Paja Y Materiales Trenzables",2021.0,"Fabricación de hojas de madera para enchapado; fabricación de tableros contrachapados, tableros laminados, tableros de partículas, y  tableros y paneles n.c.p.",162,"Fabricacao de produtos de madeira, cortica e material trancado, exceto moveis"
162.0,"Fabricación De Productos De Madera, Corcho, Paja Y Materiales Trenzables",2022.0,Fabricación de partes y piezas de carpintería para edificios y construcciones,162,"Fabricacao de produtos de madeira, cortica e material trancado, exceto moveis"
162.0,"Fabricación De Productos De Madera, Corcho, Paja Y Materiales Trenzables",2023.0,Fabricación de recipientes de madera,162,"Fabricacao de produtos de madeira, cortica e material trancado, exceto moveis"
162.0,"Fabricación De Productos De Madera, Corcho, Paja Y Materiales Trenzables",2029.0,"Fabricación de productos de madera n.c.p.; fabricación de artículos de corcho, paja y materiales trenzables",162,"Fabricacao de produtos de madeira, cortica e material trancado, exceto moveis"
170.0,Fabricación De Papel Y De Productos De Papel,2101.0,"Fabricación de pasta de madera, papel y cartón",171,Fabricacao de celulose e outras pastas para a fabricacao de papel
170.0,Fabricación De Papel Y De Productos De Papel,2102.0,Fabricación de papel y cartón ondulado y envases de papel y cartón,172,"Fabricacao de papel, cartolina e papel-cartao"
170.0,Fabricación De Papel Y De Productos De Papel,2109.0,Fabricación de  artículos de papel y cartón,173,"Fabricacao de embalagens de papel, cartolina, papel-cartao e papelao ondulado"
191.0,Fabricación De Productos De Hornos De Coque,2310.0,Fabricación de productos de hornos de coque,191,Coquerias
192.0,Fabricación De Productos De La Refinación Del Petróleo,2320.0,Fabricación de productos de la refinación del petróleo,192,Fabricacao de produtos derivados do petroleo
,,2330.0,Elaboración de combustible nuclear,,
201.0,Fabricación De Sustancias Químicas Básicas,2411.0,"Fabricación de sustancias químicas básicas, excepto abonos y compuestos de nitrógeno",,
201.0,Fabricación De Sustancias Químicas Básicas,2412.0,Fabricación de abonos y compuestos de nitrógeno,202,Fabricacao de produtos quimicos organicos
201.0,Fabricación De Sustancias Químicas Básicas,2413.0,Fabricación de plásticos en formas primarias y de caucho sintético,,
202.0,Fabricación De Productos Químicos Ncp,2421.0,Fabricación de plaguicidas y  productos químicos de uso agropecuario ,205,Fabricacao de defensivos agricolas e desinfestantes domissanitarios
202.0,Fabricación De Productos Químicos Ncp,2422.0,Fabricación de pinturas; barnices y productos de revestimiento similares; tintas de imprenta y masillas,207,"Fabricacao de tintas, vernizes, esmaltes, lacas e produtos afins"
210.0,"Fabricación De Productos Farmaceúticos, Sustancias Químicas Medicinales Y Productos Botánicos De Uso Farmaceútico",2423.0,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos",,
210.0,"Fabricación De Productos Farmaceúticos, Sustancias Químicas Medicinales Y Productos Botánicos De Uso Farmaceútico",2424.0,"Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador",206,"Fabricacao de saboes, detergentes, produtos de limpeza, cosmeticos, produtos de perfumaria e de higiene pessoal"
210.0,"Fabricación De Productos Farmaceúticos, Sustancias Químicas Medicinales Y Productos Botánicos De Uso Farmaceútico",2429.0,Fabricación de productos químicos n.c.p.,209,Fabricacao de produtos e preparados quimicos diversos
203.0,Fabricación De Fibras Manufacturadas,2430.0,Fabricación de fibras manufacturadas,204,Fabricacao de fibras artificiais e sinteticas
221.0,Fabricación De Productos De Caucho,2511.0,Fabricación de cubiertas y cámaras de caucho; recauchutado y renovación de cubiertas de caucho,221,Fabricacao de produtos de borracha
221.0,Fabricación De Productos De Caucho,2519.0,Fabricación de productos de caucho n.c.p.,221,Fabricacao de produtos de borracha
222.0,Fabricación De Productos De Plástico,2520.0,Fabricación de productos de plástico,222,Fabricacao de produtos de material plastico
231.0,Fabricación De Vidrio Y Productos De Vidrio,2610.0,Fabricación de vidrio y productos de vidrio,231,Fabricacao de vidro e de produtos do vidro
239.0,Fabricación De Productos Minerales No Metálicos Ncp,2691.0,Fabricación de productos de cerámica no refractaria para uso no estructural,234,Fabricacao de produtos ceramicos
239.0,Fabricación De Productos Minerales No Metálicos Ncp,2692.0,Fabricación de productos de cerámica refractaria,234,Fabricacao de produtos ceramicos
239.0,Fabricación De Productos Minerales No Metálicos Ncp,2693.0,Fabricación de productos de arcilla y cerámica no refractaria para uso estructural,234,Fabricacao de produtos ceramicos
239.0,Fabricación De Productos Minerales No Metálicos Ncp,2694.0,"Elaboración de cemento, cal y yeso",232,Fabricacao de cimento
239.0,Fabricación De Productos Minerales No Metálicos Ncp,2695.0,"Fabricación de artículos de hormigón, cemento y yeso",233,"Fabricacao de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes"
239.0,Fabricación De Productos Minerales No Metálicos Ncp,2696.0,"Corte, tallado y acabado de la piedra",239,Aparelhamento de pedras e fabricacao de outros produtos de minerais nao-metalicos
239.0,Fabricación De Productos Minerales No Metálicos Ncp,2699.0,Fabricación de productos minerales no metálicos n.c.p.,239,Aparelhamento de pedras e fabricacao de outros produtos de minerais nao-metalicos
241.0,Industrias Básicas De Hierro Y Acero,2710.0,Industrias básicas de hierro y acero,242,Siderurgia
241.0,Industrias Básicas De Hierro Y Acero,2710.0,Industrias básicas de hierro y acero,243,"Producao de tubos de aco, exceto tubos sem costura"
242.0,Fabricación De Productos Primarios De Metales Preciosos Y Metales No Ferrosos,2720.0,Fabricación de productos primarios de metales preciosos y metales no ferrosos,244,Metalurgia dos metais nao-ferrosos
243.0,Fundición De Metales,2731.0,Fundición de hierro y acero,245,Fundicao
243.0,Fundición De Metales,2732.0,Fundición de metales no ferrosos,245,Fundicao
251.0,"Fabricación De Productos Metálicos Para Uso Estructural, Tanques, Depósitos Y Generadores De Vapor",2811.0,Fabricación de productos metálicos para uso estructural y montaje estructural,251,Fabricacao de estruturas metalicas e obras de caldeiraria pesada
251.0,"Fabricación De Productos Metálicos Para Uso Estructural, Tanques, Depósitos Y Generadores De Vapor",2812.0,"Fabricación de tanques, depósitos y recipientes de metal",252,"Fabricacao de tanques, reservatorios metalicos e caldeiras"
251.0,"Fabricación De Productos Metálicos Para Uso Estructural, Tanques, Depósitos Y Generadores De Vapor",2813.0,Fabricación de generadores de vapor,252,"Fabricacao de tanques, reservatorios metalicos e caldeiras"
259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2891.0,"Forjado, prensado, estampado y laminado de metales; pulvimetalurgia",253,"Forjaria, estamparia, metalurgia do po e servicos de tratamento de metais"
259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2892.0,Tratamiento y revestimiento de metales; obras de ingeniería mecánica en general realizadas a cambio de una retribución o por contrata,253,"Forjaria, estamparia, metalurgia do po e servicos de tratamento de metais"
259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2893.0,"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería",254,"Fabricacao de artigos de cutelaria, de serralheria e ferramentas"
259.0,Fabricación De Productos Elaborados De Metal Ncp; Servicios De Trabajo De Metales,2899.0,Fabricación de productos elaborados de metal  n.c.p.,259,Fabricacao de produtos de metal nao especificados anteriormente
281.0,Fabricación De Maquinaria Y Equipo De Uso General,2911.0,"Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas",281,"Fabricacao de motores, bombas, compressores e equipamentos de transmissao"
281.0,Fabricación De Maquinaria Y Equipo De Uso General,2912.0,Fabricación de bombas; compresores; grifos y válvulas,281,"Fabricacao de motores, bombas, compressores e equipamentos de transmissao"
281.0,Fabricación De Maquinaria Y Equipo De Uso General,2913.0,Fabricación de cojinetes; engranajes; trenes de engranaje y piezas de transmisión,281,"Fabricacao de motores, bombas, compressores e equipamentos de transmissao"
281.0,Fabricación De Maquinaria Y Equipo De Uso General,2914.0,Fabricación de hornos; hogares y quemadores,,
281.0,Fabricación De Maquinaria Y Equipo De Uso General,2915.0,Fabricación de equipo de elevación y manipulación,285,Fabricacao de maquinas e equipamentos de uso na extracao mineral e na construcao
281.0,Fabricación De Maquinaria Y Equipo De Uso General,2919.0,Fabricación de  maquinaria de uso general n.c.p.,282,Fabricacao de maquinas e equipamentos de uso geral
282.0,Fabricación De Maquinaria Y Equipo De Uso Especial,2921.0,Fabricación de maquinaria agropecuaria,283,Fabricacao de tratores e de maquinas e equipamentos para a agricultura e pecuaria
282.0,Fabricación De Maquinaria Y Equipo De Uso Especial,2922.0,Fabricación de máquinas herramienta,284,Fabricacao de maquinas-ferramenta
282.0,Fabricación De Maquinaria Y Equipo De Uso Especial,2923.0,Fabricación de maquinaria metalúrgica,,
282.0,Fabricación De Maquinaria Y Equipo De Uso Especial,2924.0,Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción,285,Fabricacao de maquinas e equipamentos de uso na extracao mineral e na construcao
282.0,Fabricación De Maquinaria Y Equipo De Uso Especial,2925.0,"Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco",,
282.0,Fabricación De Maquinaria Y Equipo De Uso Especial,2926.0,"Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros",,
252.0,Fabricación De Armas Y Municiones,2927.0,Fabricación de armas y municiones,255,"Fabricacao de equipamento belico pesado, armas de fogo e municoes"
,,2929.0,Fabricación de maquinaria de uso especial n.c.p.,,
275.0,Fabricación De Aparatos De Uso Doméstico Ncp,2930.0,Fabricación de aparatos de uso doméstico n.c.p.,275,Fabricacao de eletrodomesticos
262.0,Fabricación De Equipos Y Productos Informáticos,3000.0,"Fabricación de maquinaria de oficina, contabilidad e informática",262,Fabricacao de equipamentos de informatica e perifericos
,,3110.0,"Fabricación de motores, generadores y transformadores eléctricos",271,"Fabricacao de geradores, transformadores e motores eletricos"
271.0,"Fabricación De Motores, Generadores Y Transformadores Eléctricos Y Aparatos De Distribución  Y Control De La Energía Eléctrica",3120.0,Fabricación de aparatos de distribución y control de la energía eléctrica,273,Fabricacao de equipamentos para distribuicao e controle de energia eletrica
273.0,Fabricación De Hilos Y Cables Aislados,3130.0,Fabricación de hilos y cables aislados,,
272.0,"Fabricación De Acumuladores,  Pilas Y Baterías Primarias",3140.0,"Fabricación de acumuladores, pilas y baterías primarias",272,"Fabricacao de pilhas, baterias e acumuladores eletricos"
274.0,Fabricación De Lámparas Eléctricas Y Equipo De Iluminación,3150.0,Fabricación de lámparas eléctricas y equipo de iluminación,274,Fabricacao de lampadas e outros equipamentos de iluminacao
279.0,Fabricación  De Equipo Eléctrico Ncp,3190.0,Fabricación  de equipo eléctrico n.c.p.,279,Fabricacao de equipamentos e aparelhos eletricos nao especificados anteriormente
261.0,Fabricación De Componentes Electrónicos,3210.0,"Fabricación de tubos, válvulas  y otros  componentes electrónicos ",261,Fabricacao de componentes eletronicos
281.0,Fabricación De Maquinaria Y Equipo De Uso General,,,282,Fabricacao de maquinas e equipamentos de uso geral
282.0,Fabricación De Maquinaria Y Equipo De Uso Especial,,,286,Fabricacao de maquinas e equipamentos de uso industrial especifico
263.0,Fabricación  De Equipos De Comunicaciones Y Transmisores De Radio Y Televisión,3220.0,Fabricación de transmisores de radio y televisión y de aparatos para telefonía y telegrafía con hilos,263,Fabricacao de equipamentos de comunicacao
264.0,"Fabricación De Receptores De Radio Y Televisión, Aparatos De Grabación Y Reproducción De Sonido Y Video, Y Productos Conexos",3230.0,"Fabricación de receptores de radio y televisión, aparatos de grabación y reproducción de sonido y video, y productos conexos",264,"Fabricacao de aparelhos de recepcao, reproducao, gravacao e amplificacao de audio e video"
266.0,Fabricación De Equipo Médico Y Quirúrgico Y De Aparatos Ortopédicos,3311.0,Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos,266,Fabricacao de aparelhos eletromedicos e eletroterapeuticos e equipamentos de irradiacao
268.0,Fabricación De Soportes Ópticos Y Magnéticos,3320.0,Fabricación de instrumentos de óptica y equipo fotográfico,267,"Fabricacao de equipamentos e instrumentos opticos, fotograficos e cinematograficos"
268.0,Fabricación De Soportes Ópticos Y Magnéticos,3320.0,Fabricación de instrumentos de óptica y equipo fotográfico,268,"Fabricacao de midias virgens, magneticas e opticas"
,,3330.0,Fabricación de relojes,265,"Fabricacao de aparelhos e instrumentos de medida, teste e controle; cronometros e relogios"
291.0,Fabricación De Vehículos Automotores,3410.0,Fabricación de vehículos automotores,291,"Fabricacao de automoveis, camionetas e utilitarios"
291.0,Fabricación De Vehículos Automotores,3410.0,Fabricación de vehículos automotores,292,Fabricacao de caminhoes e onibus
292.0,Fabricación  De  Carrocerías  Para  Vehículos  Automotores;  Fabricación De Remolques Y Semirremolques,3420.0,Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques,293,"Fabricacao de cabines, carrocerias e reboques para veiculos automotores"
293.0,"Fabricación De Partes, Piezas Y Accesorios Para Vehículos Automotores Y Sus Motores",3430.0,Fabricación de partes; piezas y accesorios para vehículos automotores y sus motores,294,Fabricacao de pecas e acessorios para veiculos automotores
293.0,"Fabricación De Partes, Piezas Y Accesorios Para Vehículos Automotores Y Sus Motores",3430.0,Fabricación de partes; piezas y accesorios para vehículos automotores y sus motores,295,Recondicionamento e recuperacao de motores para veiculos automotores
301.0,Construcción Y Reparación De Buques Y Embarcaciones,3511.0,Construcción y reparación de buques,301,Construcao de embarcacoes
301.0,Construcción Y Reparación De Buques Y Embarcaciones,3512.0,Construcción y reparación de embarcaciones de recreo y deporte,301,Construcao de embarcacoes
302.0,Fabricación Y Reparación De Locomotoras Y De Material Rodante Para Transporte Ferroviario,3520.0,Fabricación de locomotoras y de material rodante para ferrocarriles y tranvías,303,Fabricacao de veiculos ferroviarios
303.0,Fabricación Y Reparación De Aeronaves,3530.0,Fabricación y reparación de aeronaves ,304,Fabricacao de aeronaves
309.0,Fabricación De Equipo De Transporte Ncp,,,305,Fabricacao de veiculos militares de combate
309.0,Fabricación De Equipo De Transporte Ncp,3590.0,"Fabricación de motocicletas, bicicletas y sillones ortopédicos",309,Fabricacao de equipamentos de transporte nao especificados anteriormente
310.0,Fabricación De Muebles Y Colchones,3610.0,Fabricación de muebles y colchones,310,Fabricacao de moveis
321.0,"Fabricación De Joyas, Bijouterie Y Artículos Conexos",3691.0,Fabricación de joyas y artículos conexos,321,"Fabricacao de artigos de joalheria, bijuteria e semelhantes"
322.0,Fabricación De Instrumentos De Música,3692.0,Fabricación de instrumentos de música,322,Fabricacao de instrumentos musicais
323.0,Fabricación De Artículos De Deporte,3693.0,Fabricación de artículos de deporte,323,Fabricacao de artefatos para pesca e esporte
324.0,Fabricación De Juegos Y Juguetes,3694.0,Fabricación de juegos y juguetes,324,Fabricacao de brinquedos e jogos recreativos
329.0,Industrias Manufactureras Ncp,3699.0,Industrias manufactureras n.c.p.,325,Fabricacao de instrumentos e materiais para uso medico e odontologico e de artigos opticos
329.0,Industrias Manufactureras Ncp,3699.0,Industrias manufactureras n.c.p.,329,Fabricacao de produtos diversos
,,3700.0,Reciclamiento,,
,,3710.0,Reciclamiento de desperdicios y desechos metálicos,,
,,3720.0,Reciclamiento de desperdicios y desechos no metálicos,,
331.0,Reparación Y Mantenimiento De Máquinas Y Equipo,,,331,Manutencao e reparacao de maquinas e equipamentos
332.0,Instalación De Maquinaria Y Equipos Industriales,,,332,Instalacao de maquinas e equipamentos
352.0,Fabricación Y Distribución De Gas  Y De Combustibles Gaseosos Por Tuberías,4011.0,Generación de energía eléctrica,351,"Geracao, transmissao e distribuicao de energia eletrica"
352.0,Fabricación Y Distribución De Gas  Y De Combustibles Gaseosos Por Tuberías,4012.0,Transporte de energía eléctrica,351,"Geracao, transmissao e distribuicao de energia eletrica"
